Question,Answer,Intent
Does the library have a color copier?,"There are no color photocopiers in the library. Color copying is available at Quick Copy in Russell House.
The library does have both color printers and color scanners. For more information see our website.
[Printing, Scanning, Copying](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/technology_services/printing/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23763)",library_color_copier
Where is the Starbucks in Thomas Cooper?,"As of January 2018, a full-service Starbucks replaced the previous Cooper's Corner coffee shop, located on the Main Level of Thomas Cooper Library in the back corner.
Carolina Food Co. manages the Starbucks, including their hours, which can be found at the link below.
Need a snack or drink but Starbucks is closed? There are also food and beverage vending machines on the Main Level and Level 5.
[Starbucks - Thomas Cooper Library](https://www.sc.edu/about/offices_and_divisions/dining_services/restaurants/starbucks_thomascooper.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23776)",starbucks_thomas_cooper
Does the library have children's books?,"Thomas Cooper Library has a collection of juvenile books on Level 1 that you can check out that range from picture books to young adult literature and includes non-fiction and fiction.
The juvenile collection uses the same call number system as the rest of the library if you want to browse. Find It @ USC lists the location as Columbia Cooper Juvenile. Writing down both the call number and the title of the book is especially helpful for finding books in the juvenile collection.
The Irvin Department of Rare Books and Special Collections in the Hollings Library has [several collections of children's books](http://sc.edu/about/offices_and_divisions/university_libraries/browse/irvin_dept_special_collections/collections/index.php?search=children) which you can look at in their reading room but cannot check out. Find It @ USC lists the location as Columbia Rare Books & Special Collections. To learn more or make an appointment to use these collections, contact the department directly.
 
[Children's Literature Guide](https://guides.library.sc.edu/childrenslit)
[Find It @ USC Libraries](https://pascal-usc.primo.exlibrisgroup.com/discovery/search?vid=01PASCAL_USCCOL:USC)
[Borrow Library Materials](http://sc.edu/about/offices_and_divisions/university_libraries/find_services/borrow/library_materials/index.php)
[Irvin Department of Rare Books and Special Collections](http://sc.edu/about/offices_and_divisions/university_libraries/browse/irvin_dept_special_collections/)
[Hollings Library - Visiting and Location information](http://sc.edu/about/offices_and_divisions/university_libraries/about/locations/hollings/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23788)",library_childrens_book
Where can I take an online or proctored exam?,"Desktop computers in the Technology Lounge on Level 5 of the Thomas Cooper Library have the Respondus Lockdown Browser but not Respondus Monitor. These computers do not have webcams due to privacy concerns in a public space. Only students enrolled at USC can use the Technology Lounge.
While the library does not offer additional exam proctoring services, the university has several options for USC students taking online courses. 
[Exams and Testing for Online Courses](https://www.sc.edu/study/academic_overview/online_education/courses/exams_and_testing/index.php)
[Test Proctoring - Office of Distributed Learning](https://www.sc.edu/about/offices_and_divisions/distributed_learning/test_proctoring/index.php)
[Non-USC Student Testing](https://www.sc.edu/study/academic_overview/online_education/courses/exams_and_testing/non-usc_student_testing/index.php)
[Consortium of College Testing Centers](http://www.ncta-testing.org/cctc)

[Learn more here](https://libanswers.library.sc.edu//faq/228937)",take_online_proctored_exam
How do I request to have a book delivered to my campus office?,"Request books through [Find It @ USC](https://pascal-usc.primo.exlibrisgroup.com/discovery/search?vid=01PASCAL_USCCOL:USC). Sign in with your USC network username and password to see the Request link. Under Pickup Location, choose the option for Work Address. 
For Interlibrary Loan or PASCAL Delivers items, contact Circulation at [ecirc@mailbox.sc.edu](mailto:ecirc@mailbox.sc.edu) to ask for campus delivery after receiving the email notification that your item has arrived.
More details are available on our webpage:
 
[Employee Book Delivery](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/borrow/book_delivery/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/234586)",request_book_delivered_campus
How do I get a library card?,"Your CarolinaCard is your library card. You need it to enter the library and check out books.
On the Columbia Campus, you can get a CarolinaCard at their office in the basement of the Russell House. If you are unable to come to campus, Distributed Learning Support Services can issue you a library ID card.
Students at a distance can take advantage of most library resources by signing in with their network username and password without needing a CarolinaCard. See the link below to learn more about accessing resources from off campus.
If you are not currently affiliated with the University of South Carolina, you can get borrowing privileges by joining either the USC Alumni Association or Friends of the University Libraries.
 
[CarolinaCard Office](https://sc.edu/about/offices_and_divisions/carolinacard/)
[Library ID request through Distributed Learning](https://sc.edu/about/offices_and_divisions/distributed_learning/library_services/library_id_request.php)
[Off-Campus Access](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/off-campus_access/index.php)
[Visitor and Alumni Services](http://sc.edu/about/offices_and_divisions/university_libraries/find_services/visitor_alumni_services/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23773)",get_library_card
Why can't I connect to the eduroam wireless network?,"The Department of Information Technology (DoIT) has created [FAQs that address known issues with Wi-Fi](https://sc.edu/about/offices_and_divisions/division_of_information_technology/infrastructure/wififaqs.php) across campus in general.
To access the eduroam wireless network, you must use your Network username with @ds.sc.edu added to the end. Your Network password is the same as your email password.
The most common problem that is NOT related to general capacity or hardware issues is that your password has expired and needs to be updated. Use the link below for help when your password is not working.
Note: Even if your password has been updated, often your computer has stored an expired password and is not prompting you to enter your new password.
PC users: Right-click to Forget this network and then reconnect. Enter updated login information.
Mac users: U﻿n-check Connect automatically and then reconnect. If it asks to use your Keychain stored password say no and re-enter your most recent login information.
Please contact the IT Service Desk at 803-777-1800 for help with Wi-Fi access issues that are not solved by the suggestions above.
 
[DoIT Service Desk](https://sc.edu/about/offices_and_divisions/division_of_information_technology/end_user_services/available_technology_resources/service_desk/index.php)
[Wireless Instructions from DoIT](https://sc.edu/about/offices_and_divisions/division_of_information_technology/end_user_services/available_technology_resources/wirelss_wired_networking/)
[My username and password are not working. What should I do?](https://libanswers.library.sc.edu/faq/231891)

[Learn more here](https://libanswers.library.sc.edu//faq/23748)",cant_connect_eduroam_wireless
How do I renew books?,"Books from USC locations and PASCAL Delivers libraries
You may renew online using [My Account](https://pascal-usc.primo.exlibrisgroup.com/discovery/login?vid=01PASCAL_USCCOL:USC).  After signing in, click on your name in the upper right corner and choose My Loans. Loans from USC Columbia (includes Law and Medicine) display by default. To see loans from PASCAL Delivers including other USC campus libraries, select the loaning institution in the left column.
Under each institution, you will have the option to Renew All or select and renew individual items.
For questions about your account, contact the Circulation department at 803-777-3145 or [ecirc@mailbox.sc.edu](mailto:ecirc@mailbox.sc.edu)
 
Books borrowed through Interlibrary Loan
If the ILL Express! band on your borrowed item indicates that renewals are allowed, you can request a renewal through your Interlibrary Loan account.
The final decision on granting a renewal rests with the lending library, and only one renewal per item is allowed. You won't be able to renew an item until five days or less before the original due date.
For questions about ILL renewals, contact Interlibrary Loan at 803-777-2805 or [uscill@mailbox.sc.edu](mailto:uscill@mailbox.sc.edu)
 
Renewing books between semesters
All items are generally due at the end of each semester, and the system will not let you renew beyond that date. If you are already enrolled in classes for the upcoming semester, contact the Circulation department at 803-777-3145 or [ecirc@mailbox.sc.edu](mailto:ecirc@mailbox.sc.edu) for help with renewals.
 
Use these links to access your accounts or for more information.
[My Account](https://pascal-usc.primo.exlibrisgroup.com/discovery/login?vid=01PASCAL_USCCOL:USC)
[Interlibrary Loan](http://sc.edu/libraries/ill)
[How to renew from your Interlibrary Loan account](http://guides.library.sc.edu/renewals)

[Learn more here](https://libanswers.library.sc.edu//faq/23780)",renew_book
What are the hours for Thomas Cooper Library?,"The Thomas Cooper Library's hours are located at [sc.edu/libraries/hours](https://sc.edu/about/offices_and_divisions/university_libraries/about/hours/index.php). Please note there are different hours for USC affiliates and visitors (including Library Friends and alumni.)
[Hours of Operation](http://sc.edu/libraries/hours)
[Visitor and Alumni Services](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/visitor_alumni_services/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23738)",hour_thomas_cooper_library
Why can't I login to my Interlibrary Loan account?,"If you receive the error message that says your account needs to be manually updated, please contact the Interlibrary Loan Department at 803-777-2805 or [uscill@mailbox.sc.edu](mailto:uscill@mailbox.sc.edu?subject=ILL%20account%20needs%20to%20be%20updated). Provide your username, and they can quickly fix the issue.
This error is due to a recent change in the library's authentication process. It is not related to your ability to borrow items through Interlibrary Loan.
If you have any other issues logging in to library services with your network username and password, please see the link below for additional help.
 
[My username and password are not working. What should I do?](https://libanswers.library.sc.edu/faq/231891)

[Learn more here](https://libanswers.library.sc.edu//faq/374013)",cant_login_interlibrary_loan
What is a call number and how do I use it?,"Call numbers are used to locate items on the shelf. See our online guide for using call numbers to find a book.
[Reading Call Numbers](http://guides.library.sc.edu/callnumbers)

[Learn more here](https://libanswers.library.sc.edu//faq/23752)",call_number_use_it
How do I access a specific library database?,"You can find a complete list of the library's subscription databases with links for access from our website by clicking on Databases at the bottom of the main search box on the homepage or using the link below. If needed, you will be prompted to login with your Network username and password.
If you are looking for access to a specific publication, such as a particular journal, newspaper, or magazine, the best strategy is to click on Journals (next to the link for databases on the homepage) and search by the publication title to learn what resource(s) provide access.
 
[A-Z Databases](http://guides.library.sc.edu/az.php)
[My username and password are not working. What should I do?](http://libanswers.library.sc.edu/faq/231891)
[Journals (by publication title)](https://pascal-usc.primo.exlibrisgroup.com/discovery/jsearch?vid=01PASCAL_USCCOL:USC)

[Learn more here](https://libanswers.library.sc.edu//faq/261804)",access_specific_library_database
How many books can I check out?,"Current USC students, faculty and staff can borrow an unlimited number of most materials from University Libraries. The PASCAL Delivers service has a limit of 50 items at a time. USC Alumni Association and Friends of University Libraries members are allowed up to 5 items at a time.
There are a few exceptions, such as films or journals, that vary depending on your status at the university. For additional details, see our website.
 
[Borrow Library Materials](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/borrow/library_materials/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/234599)",many_book_check_out
Can I have books mailed to my home address if I am a student at a distance?,"Yes! Request books through [Find It @ USC](https://pascal-usc.primo.exlibrisgroup.com/discovery/search?vid=01PASCAL_USCCOL:USC). Sign in with your USC network username and password to see the request links. We'll mail items to your home address. Please make sure your address is up to date in your [student](http://my.sc.edu/) record.
For more details and other ways to use the library from off campus:
[Off Campus Access](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/off-campus_access/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/246198)",book_mailed_home_address
How much are the fees for late returns and/or lost items?,"University Libraries does not charge late fees for most overdue items, except for [reserve textbooks](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/borrow/textbooks/index.php) and [borrowed technology](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/borrow/technology/index.php).
For reserve textbooks on hourly loan within the library, the late return fee is $5 per hour. For extended loans (1 or more days), the fee is $15 per day. Please see our [technology loan policies](https://guides.library.sc.edu/tech-policies) for details on late fees and replacement costs by item type.
The library will charge replacement costs for any long overdue, lost or damaged items. The charge will be removed if long overdue items are returned.
Please contact the Circulation Department at [ecirc@mailbox.sc.edu](mailto:ecirc@mailbox.sc.edu) with any questions about fines on your library account. If you believe you have been charged in error, you can submit an online appeal.
[Appeal Lost Book Charges](http://delphi.tcl.sc.edu/library/circulation/appeal.html)
[Appeal Technology Fines](https://sc.libwizard.com/f/tech-lounge-appeal)

[Learn more here](https://libanswers.library.sc.edu//faq/365701)",much_fee_late_return
Does the library provide support for EndNote?,"The library maintains an online help guide with introductory information. Librarians also offer workshops periodically.
All USC Columbia students, faculty, and staff have access to the free EndNote Online version through the library's subscription to Web of Science. However, this product does not have all of the features of EndNote Desktop.
EndNote Desktop software is available to USC employees from the Division of Information Technology in the Software section of my.sc.edu. For assistance with purchasing software, contact the DoIT Service Desk. Faculty and staff members can also contact their departments.
[EndNote Online Guide](https://guides.library.sc.edu/endnote)
[Library Workshops](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/workshops/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/246203)",library_provide_support_endnote
How do I find empirical studies?,"Look for Methodology filters and facets
PsycINFO has a Methodology limit. You can select empirical study or specific types of studies, including qualitative or quantitative studies.
PubMed's Article Type limit includes various types of empirical research.
When there's not a way to limit by methodology:
Look through the results and scan the abstract for clues to recognize it's empirical.
Try searching with words that describe types of empirical studies (list not exhaustive):
empirical OR qualitative OR quantitative OR action research OR case study OR controlled trial OR focus group 
Enter other terms you'd expect to see in an abstract. Some suggestions:
findings OR participant* OR investigat*
The Empirical Articles/Studies online guide can help you learn to recognize empirical articles and has a video showing PsycINFO's Methodology limit.
[Empirical Articles/Studies](https://guides.library.sc.edu/empirical)

[Learn more here](https://libanswers.library.sc.edu//faq/374718)",find_empirical_study
Does the library have any car repair manuals?,"You can find information for servicing automobiles both old and new in a database offered through DISCUS, South Carolina’s Virtual Library. DISCUS makes some core resources available throughout the state by providing access through South Carolina public, school and college libraries.
[ChiltonLibrary](https://link.gale.com/apps/CHLL?u=colu68650)

[Learn more here](https://libanswers.library.sc.edu//faq/404641)",library_car_repair_manual
How can alumni get access to research resources?,"Members of the USC Alumni Association can borrow print materials, make Interlibrary Loan requests, and access alumni versions of select databases. Local alumni can visit Thomas Cooper Library to access subscription resources or study.
Due to licensing restrictions, it is not possible for alumni to have off-campus access to library subscription resources. Please share your desire for additional resource access with the Alumni Association for consideration as a potential benefit to members.
JSTOR offers a number of options for independent researchers including JPASS, an individual subscription to a portion of their journal collections. Many publishers also offer article access on a pay-per view basis.
 
[Library Benefits for USC Alumni Association members](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/visitor_alumni_services/alumni_benefits/index.php)
[JSTOR for individual researchers](https://support.jstor.org/hc/en-us/sections/115001405788-Independent-Researchers)

[Learn more here](https://libanswers.library.sc.edu//faq/264340)",alumnus_get_access_research
How can I schedule a research appointment?,"You can schedule an in-person or virtual one-on-one appointment with a librarian by clicking the link below. To schedule, select the relevant search field or subject librarian. During this appointment, you can request help with:
Finding articles or books
Identifying relevant databases to search
Citation managers, and more!
You can also ask research questions through online chat and email.
[Book a Librarian](http://guides.library.sc.edu/bookalibrarian)
[Chat With a Librarian](https://sc.edu/about/offices_and_divisions/university_libraries/get_research_help/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23758)",schedule_research_appointment
How busy is Thomas Cooper Library right now?,"Thomas Cooper Library now has a live visitor count! Click the link below to choose where you will study today.
 
Relevant links:
[Live visitor count - Thomas Cooper Library](https://sc.edu/about/offices_and_divisions/university_libraries/about/visitor_count/)
[Floor Plan - Thomas Cooper Library](https://sc.edu/about/offices_and_divisions/university_libraries/about/locations/tcl/floor_plans/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/420004)",busy_thomas_cooper_library
How do I reserve a study room?,"Group study rooms in Thomas Cooper Library, including large and small rooms on Levels 1-4, the Tech Coops on Level 4, and the collaborative technology rooms on the Main Level, must be reserved online up to 3 weeks in advance.
For reservations and additional information:
[Reserve a Study Room](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/study_room/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23755)",reserve_study_room
Are food and drinks allowed in the library?,"You are allowed to have food and drinks in most areas of the library. Please wear your mask or face covering when you are not actively eating or drinking.
Exceptions:
Food and beverages are not allowed in the library classrooms, Library Productions Studios, the Hollings Special Collections Library, or the South Caroliniana Library.
Remember to Keep it Clean! Please respect your fellow classmates and library users by properly disposing of trash and recycling.  

[Learn more here](https://libanswers.library.sc.edu//faq/23774)",food_drink_allowed_library
How do I find dissertations and theses?,"University Libraries offers several resources to help you find doctoral dissertations and master's theses written at USC and elsewhere, and Honors College theses from the University of South Carolina. You can start by searching in the ProQuest database or please visit the research guide below to learn more.
[ProQuest Dissertations and Theses Global database](https://login.pallas2.tcl.sc.edu/login?url=https://search.proquest.com/pqdtglobal/advanced?accountid=13965)
[Guide to Finding Dissertations and Theses](https://guides.library.sc.edu/dissertations)

[Learn more here](https://libanswers.library.sc.edu//faq/23759)",find_dissertation_thesis
How can I find historical newspaper articles?,"University Libraries subscribes to numerous historical newspaper databases, and you can see a list using the link below. The dates of coverage vary, so be sure to check that the time period you need is included.
Also, Chronicling America is a freely available digital newspaper collection covering most U.S. states from 1836-1922. Additionally, many states have their own collections of digitized historical newspapers that can easily be found online.
Interested in South Carolina newspapers? Take a look at Historical Newspapers of South Carolina, another freely available resource. You'll find content from the African-American newspapers Lighthouse and Informer and The Palmetto Leader not found in Chronicling America.
If you can't find online access through one of these sources, historical issues may be available on microfilm. Try searching Find It @ USC Libraries for title of the newspaper.
[Historical Newspaper databases](http://guides.library.sc.edu/az.php?s=58862&amp;t=14881)
[Chronicling America](http://chroniclingamerica.loc.gov/)
[Historical Newspapers of South Carolina](http://historicnewspapers.sc.edu/)
[Find It @ USC Libraries](https://pascal-usc.primo.exlibrisgroup.com/discovery/search?vid=01PASCAL_USCCOL:USC)

[Learn more here](https://libanswers.library.sc.edu//faq/128813)",find_historical_newspaper_article
Why can't I access Thomson One?,"The Thomson One database is considered a legacy product that is no longer being updated or maintained by its owners. Also, it only worked in the Internet Explorer browser, which has also been phased out by Microsoft.
The library has many other [resources for business data and information](https://guides.library.sc.edu/az.php?s=58861). For assistance with business research, please contact Jean C. Mays at [clenneyj@mailbox.sc.edu](mailto:clenneyj@mailbox.sc.edu) or [schedule an appointment](http://libcal.library.sc.edu/appointment/31855).

[Learn more here](https://libanswers.library.sc.edu//faq/316140)",cant_access_thomson_one
Where is the Thomas Cooper Library located?,"The Thomas Cooper Library is located at 1322 Greene Street, near the corner of Greene and Sumter Streets. Parking is generally available in the Bull Street Parking Garage or in metered spots around campus. See the link below for a map and additional details.
 
[Thomas Cooper Library - Location](http://sc.edu/about/offices_and_divisions/university_libraries/about/locations/tcl/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23739)",thomas_cooper_library_located
Where is the Center for Teaching Excellence (CTE)?,"The Center for Teaching Excellence (CTE) is located on Level 5 of the Thomas Cooper Library, Room L511. Walk past the elevators. When you enter the open study area, look to your right and you'll find it.
[Floor Plans for Thomas Cooper Library](https://sc.edu/about/offices_and_divisions/university_libraries/about/locations/tcl/floor_plans/index.php)
[Center for Teaching Excellence homepage](http://www.sc.edu/cte/)

[Learn more here](https://libanswers.library.sc.edu//faq/23781)",center_teaching_excellence_cte
Where can I get help with writing?,"The University Writing Center is located in Byrnes 703 (on the corner of Sumter and College streets.)
Undergraduate students can also use the Writing Lab sponsored by the Student Success Center, which is located in Sims Hall, S109 (in Women's Quad.)
Make an appointment, find drop-in hours, and learn about the available services at these links:
[University Writing Center at UofSC](https://www.sc.edu/study/colleges_schools/artsandsciences/english_language_and_literature/beyond_classroom/writing_center/)
[Peer Writing and Communications from Student Success Center](https://www.sc.edu/about/offices_and_divisions/student_success_center/study-smart/peer-writing-and-communications/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23796)",get_help_writing
Where can I have something notarized?,"The CarolinaCard office in the basement of Russell House has a notary. Call CarolinaCard at 803-777-1708 to check availability at a specific time.

[Learn more here](https://libanswers.library.sc.edu//faq/138210)",something_notarized
How can I contact the library?,"You can ask questions, make noise complaints, look up phone numbers and email addresses, or submit feedback and suggestions on our [Contact page](https://sc.edu/about/offices_and_divisions/university_libraries/about/contact/index.php).
For help with research, go to our [Get Research Help](https://sc.edu/about/offices_and_divisions/university_libraries/get_research_help/index.php) page and start a chat or [submit a question by email](https://libanswers.library.sc.edu/ask).
For questions about your library account including renewals and fines, call 803-777-3145 or email [ecirc@mailbox.sc.edu](mailto:ecirc@mailbox.sc.edu).
To find contact information for specific individuals or departments:
 
[Faculty and Staff Directory](https://sc.edu/about/offices_and_divisions/university_libraries/about/contact/faculty-staff/index.php)
[Library Department Contact List](https://sc.edu/about/offices_and_divisions/university_libraries/about/contact/departments/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/234661)",contact_library
"If I don't have a computer, internet access, or other technology I need for classes, how can the library help?","Borrow Library Technology
The Circulation Desk on the Main Level of Thomas Cooper Library loans laptops, iPads, camera equipment, virtual reality devices and more for up to 7 days at a time.
 
Internet Access Options
The eduroam wireless network is available in Thomas Cooper Library. The university's DoIT has also created a list of free and discounted internet services (link below.)
Use these links to learn more:
[Borrow Technology](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/borrow/technology/index.php)
[Free and Discounted Internet Services](https://sc.edu/about/offices_and_divisions/division_of_information_technology/about_us/news/2020/discountedinternet.php)
[Why can't I connect to the eduroam wireless network?](https://libanswers.library.sc.edu/faq/23748)

[Learn more here](https://libanswers.library.sc.edu//faq/291548)",computer_internet_access_technology
How can an instructor schedule a class in the library?,"Librarians are available to teach your students information literacy and library research skills tailored to your course and assignments, both in person and online. You can use the library's online request form or email your subject librarian directly to discuss your needs and schedule sessions.
The librarians have priority in scheduling, the library has two computer classrooms that faculty and staff can request for occasional use other than librarian-led instruction. Submit requests online.
[Schedule Library Instruction](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/faculty_services/schedule_library_instruction/index.php)
[Find My Subject Librarian](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/faculty_services/subject_librarian/index.php)
[Request a Library Classroom (no librarian instruction)](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/faculty_services/request_classroom/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23792)",instructor_schedule_class_library
Where can I check out a locker?,"USC Columbia students and university employees can ask for a locker at the Access Services Desk on the Main Level of Thomas Cooper Library.
Find more details on our webpage:
 
[Check Out a Locker](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/borrow/lockers/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23793)",check_locker
How can I find examples of dissertations from the online EdD Curriculum and Instruction program?,"If you want to limit your searching specifically to dissertations from your program, go to Scholar Commons, which is USC's institutional repository. To find Scholar Commons in our list of [databases](http://guides.library.sc.edu/az) you can: 
change All Database Types to Dissertations and Theses,
search for it by name, or
click on the letter S
Once you are in Scholar Commons, [start with this search](https://scholarcommons.sc.edu/do/search/advanced/?q=%22doctor%20of%20education%22%20AND%20%22curriculum%20and%20instruction%22&start=0&start_date=01%2F01%2F2017&context=1297705&sort=score&facet=):
            doctor of education
AND    curriculum and instruction
(The first graduates from your program were in 2017, so 01/01/2017 was added as the beginning search date.)
If you would like to limit your search even further, look on the right side of the results screen and you'll see a tab for Show Search. Click Show Search and then you can adjust this search by adding another search box (look for the green + icon) and additional search terms.

[Learn more here](https://libanswers.library.sc.edu//faq/232083)",find_example_dissertation_online
"What was the Carolina/Southern California trademark dispute about, and does it affect the UofSC/USC branding?","The 2010 trademark case between the University of South Carolina and the University of Southern California was not over the use of USC. It was over the use of the interlocking SC letters as an athletic logo.
Southern California uses an interlocking block SC for its athletic teams, while South Carolina uses an interlocking script SC, which was based on historical designs over a century old. Southern California argued that fans would be confused by a burgundy block SC and a garnet script SC. The University Archives provided documentation of the historical usage of the interlocking SC at the University of South Carolina, but Southern California won the case because in the 1980s the longstanding usage of SC and South Carolina to represent this university were dropped in favor of using USC (and The USC). The judge ruled we had abandoned the mark. Carolina can still use the logo, it just can't be trademarked.

[Learn more here](https://libanswers.library.sc.edu//faq/378742)",carolinasouthern_california_trademark_dispute
How can I access the Journal of Marketing or other specific marketing journals?,"You can use the Business Source Complete database to access Journal of Marketing and other similar journals. See our online guide for links and screenshots.
[Marketing Journals in Business Source Complete](https://guides.library.sc.edu/marketing-journals)

[Learn more here](https://libanswers.library.sc.edu//faq/264187)",access_journal_marketing_specific
How do I check out an iPad?,"iPads are available for checkout from the Checkout desk on the Main floor of Thomas Cooper library. To put one on hold, follow the link below and scroll down to iPads. Valid CarolinaCard is required.
[Borrow Technology](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/borrow/technology/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23743)",check_ipad
Are there computers available in the library?,"Thomas Cooper Library has desktop computers, both Mac and PC, available on Level 5 in the Technology Lounge. Check the Software and Hardware link to see what programs are offered on these computers.
Laptops and iPads are also available for check out from the Checkout Desk on the Main floor. For more details see our website.
There are also laptops available for 4-hour loans, located in the Kiosk next to the printers on the Main floor.
[Borrow Technology](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/borrow/technology/index.php)
[Software and Hardware](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/technology_services/software_hardware/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23745)",computer_available_library
Where are the other USC libraries?,"In addition to the University Libraries locations, the Law School and the School of Medicine have their own libraries in Columbia. There are also libraries that support each of the USC system campuses around the state.
[All USC Library Locations](https://sc.edu/about/offices_and_divisions/university_libraries/about/locations/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/23772)",usc_library
Does the library have films and videos?,"Yes! You can check out videos from Thomas Cooper Library with a valid CarolinaCard. 
You can search [Find It @ USC Libraries](https://pascal-usc.primo.exlibrisgroup.com/discovery/search?vid=01PASCAL_USCCOL:USC&mode=advanced) by title, actor/director names, genre or keyword. It helps to limit your search to USC Libraries. Once you conduct a search, select Columbia Cooper Educational Films as the Location. When you identify the film you want, contact Educational Films directly to request it.
The library also provides free access to several streaming video collections for students, faculty and staff.
[Educational Films](https://sc.edu/about/offices_and_divisions/university_libraries/browse/educational_films/index.php)
[Streaming Video and Audio collections](http://guides.library.sc.edu/az.php?t=26626)

[Learn more here](https://libanswers.library.sc.edu//faq/23785)",library_film_video
How do I get full text access to a specific article?,"From within a library database:
If you are already in a library database and the PDF or Linked Full Text is not there, try Check for Full Text to search for the article within all of the library's subscriptions.
 
From the library homepage:
There are two main strategies to try.
Search for the article title in the Find It @ USC search box on the library homepage. (Do not paste the full citation.) Look for the link labeled Available Online to see Full text availability options. From the options, select the link to the database or publisher that includes the year that you need.
  
Use the Journals link below the search box and enter the publication title (not the specific article title.) Verify the journal title and look for the link labeled Available Online to see Full text availability options. From the options, select the link to the database or publisher that includes the year that you need. After making a selection, you will have to navigate to the year and volume or search for the article title.
  
From Google Scholar:
To have your results in Google Scholar show links to articles available through the library, follow these steps.
Select Settings and click on Library Links
Search and select UofSC University Libraries - ViewIt@USC
Click Save
From Interlibrary Loan:
Some articles are not included in the library subscriptions and cannot be immediately accessed online. For these articles, make a free Interlibrary Loan request for a PDF scan of the article.
 
[Find It @ USC Libraries](https://pascal-usc.primo.exlibrisgroup.com/discovery/search?vid=01PASCAL_USCCOL:USC)
[Journal Search (by journal title)](https://pascal-usc.primo.exlibrisgroup.com/discovery/jsearch?vid=01PASCAL_USCCOL:USC)
[Google Scholar](https://scholar.google.com/)
[Request an Interlibrary Loan](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/interlibrary_loan/index.php)

[Learn more here](https://libanswers.library.sc.edu//faq/261809)",get_full_text_access
How do I access Harvard Business Review articles through the library?,"The Business Source Complete database includes every volume of Harvard Business Review (HBR) magazine back to the first issue published in 1922.
From the [publication details page for HBR](https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=bth&jid=HBR&site=ehost-live&custid=s3604775), use Search within this publication on the left to search for the article title or use topic keywords. You can also use the years/volumes/issues menu on the right to drill down to a specific issue.
 
From the University Libraries homepage:
Click [Databases](http://guides.library.sc.edu/az.php) and choose Business Source Complete. Enter Harvard Business Review in one of the search boxes and add a title or keyword in another of the search boxes.
 Note: The publisher offers limited, read-only access to the 500 most popular articles in HBR. The PDF of these articles cannot be printed, downloaded or saved. You will not be able to access the PDF using the permalink provided. You can only access these articles using the steps above and read them online within the database for personal research.
[Harvard Business Review](https://search.ebscohost.com/login.aspx?direct=true&amp;AuthType=sso&amp;db=bth&amp;jid=HBR&amp;site=ehost-live&amp;custid=s3604775)
[Business Source Complete](https://search.ebscohost.com/login.aspx?authtype=sso&amp;custid=s3604775&amp;profile=ehost&amp;defaultdb=bth)

[Learn more here](https://libanswers.library.sc.edu//faq/271416)",access_harvard_business_review
