Question,Answer
What platforms are available for digital scholarship projects?,"## Selecting a Platform
There are many content management systems or platforms that can be used for digital scholarship projects. The library offers many content management systems at no cost to faculty, staff, and graduate students through [](https://uofsccreate.org/). Simply log in with your network username and password to get started. You can also choose to support these platforms on your own.
Use the links below to access the tools or, when available, log in to [USC Create Digital ](https://uofsccreate.org/)to discover free tools offered by the library."
What content management systems are available?,"
## Content Management Systems
- [Drupal](https://www.drupal.org/)
- [Omeka](https://omeka.org/)
- [Scalar](https://scalar.me/anvc/)Scalar is an open source platform that specializes in book-length digital scholarship. It allows users to incorporate writings and media from many sources and enables non-linear writing formats. Download Scalar from USC Create Digital or register for[an account](http://scalar.usc.edu/works)from Scalar.
- [Wordpress](http://wordpress.org/)"
How do I select a suitable content management system?,"
## Selection Criteria
Selecting a CMS may seem like a simple task, but picking a CMS that is suitable is critical for the success of the project. Viewing tutorials and reviewing documentation in advance of your selection will help you to understand both the technical expertise necessary to administer your project and to decide if the CMS offers the tools needed to showcase your work.
Need help selecting a CMS?[ Reach out to us for assistance!](mailto:boydkf@mailbox.sc.edu?subject=CMS%20help)

[Learn more here](https://guides.library.sc.edu/digitalscholarship/cms)"
What is web archiving?,"## Web Archiving
Web archiving allows researchers and others to capture and store collections of web content for preservation purposes. There are many tools and services that make web archiving possible. Some are available to individuals at no or low cost, while others are primarily used by organizations and institutions.

[Learn more here](https://guides.library.sc.edu/digitalscholarship/webarchiving)"
What free tools can I use for web archiving?,"## Free to Use
- [Webrecorder](https://webrecorder.io/)
- [Heritrix](https://github.com/internetarchive/heritrix3/wiki)
- [WebCite](https://www.webcitation.org/)

[Learn more here](https://guides.library.sc.edu/digitalscholarship/webarchiving)"
What subscription services are available for web archiving?,"## Subscription Services
- [Archive-It](https://archive-it.org/)

[Learn more here](https://guides.library.sc.edu/digitalscholarship/webarchiving)"
What types of works can be copyrighted?,"## What Can Be Copyrighted?
Not everything created can be copyrighted. One important aspect of copyright law throughout history is that ideas and facts cannot be copyrighted.  For example, you may write a book about capitalism. The words you use to express your idea may be copyrighted; however, you cannot own the idea of capitalism. Ideas belong to our culture.
There is a minimal standard of originality that must be met for works to be protected by copyright. For example, if you were to take a picture of the Mona Lisa, it is a replication of the original. You cannot copyright that picture because it adds nothing original. However, if you were to add to the photo by changing the colors or other artistic elements, you might be able to copyright that image. Lists that lack originality, such as the white pages of a phone book, typically cannot be copyrighted because they do not meet the standard of minimal original content.
Also, facts and processes cannot be copyrighted. For example, a recipe for cheesecake with a list of ingredients, and instructions on how to bake the cake is not copyrightable. However, if you were to include stories of the person who created the recipe, or suggestions for ways to serve it, then that content would be copyrightable.

[Learn more here](https://guides.library.sc.edu/copyright/publicdomain)"
What is the public domain?,"## What is the Public Domain?
A work in the public domain is not protected by copyright. The public domain is important to us as a culture. Allowing people to create using other people's ideas and works helps us remain an innovative and progressive society. Many important works are in the public domain. Some include:
- works published before 1927
- works where copyright has expired
- most federal documents
- facts, titles, ideas, etc.
What is actually in the public domain can be very complicated at times, and it's difficult in some circumstances to find a copyright owner resulting in an orphaned work. Cornell has an excellent chart that details many other circumstances where things fall under the public domain:
- [Copyright Term and the Public Domain in the United States](http://copyright.cornell.edu/resources/publicdomain.cfm)

[Learn more here](https://guides.library.sc.edu/copyright/publicdomain)"
Are there additional resources available for learning about copyright?,"## Additional Resources
- [Copyright Genie](http://librarycopyright.net/resources/genie/index.php)
- [Copyright Renewal Database](https://exhibits.stanford.edu/copyrightrenewals)
- [Copyright Renewals List](http://onlinebooks.library.upenn.edu/cce/)
- [Renewal Record Transcriptions](http://onlinebooks.library.upenn.edu/webbin/gutbook/lookup?num=11800)
- [The Copyright Slider](http://librarycopyright.net/resources/digitalslider/index.html)
- [Search Copyright Records](http://www.copyright.gov/records/)

[Learn more here](https://guides.library.sc.edu/copyright/publicdomain)"
What are statutory exemptions for copyright?,"## Statutory Exemptions
##### Library Copying (Section 108)
Most academic and public libraries can benefit from this provision that permits libraries to make copies of materials for preservation and security, to give copies to users for their private study or research, and to send copies through interlibrary loan. Like most of the statutes, it applies only to certain types of works, and only under certain circumstances.

##### First Sale (Section 109(a))
This important exception limits the distribution rights of the copyright holder by providing that once the owner authorizes the release of lawfully made copies of a work, those copies may in turn be passed along to others by sale, rental, loan, gift, or other transfer. This important exception allows libraries to lend materials and stores to sell books. The Supreme Court addressed this exception in the [Kirtsaeng](http://copyright.columbia.edu/copyright/2013/03/20/the-kirtsaeng-decision-copyright-logic-and-libraries/) decision, holding that the ‘first sale’ doctrine applies to copies of a copyrighted work lawfully made abroad.

##### Public Displays (Section 109(c))
One of the rights of copyright owners is the right to make public displays, but this statute allows the owner of a lawfully made copy of a work to display it to the public at the place where the work is located. The art museum that owns a painting may hang it on the wall; a bookstore can place books on display in front windows; and the library may put materials in the display cases for all to see.

##### Displays and Performances in Face-to-Face Teaching (Section 110(1))
Under this exception, educators may make performances and displays of all types of works in a classroom or similar place at most educational institutions. It allows instructors and students to recite poetry, read plays, show videos, play music, project slides, and engage in many other performances and displays of protected works in the classroom setting. This statute is actually comparatively simple and broad, but keep in mind that it permits only displays and performances in the classroom—not the making of copies or the posting of digital works on servers.

##### Computer Software (Section 117)
This exception allows the owner of a copy of a computer program to modify the program to work on his or her computer or computer platform, and to make a back-up copy of the software to use in the event of damage to or destruction of the original copy. Realistically, most commercial programs are sold for use on multiple platforms, or the rights of use may be governed by license agreements.

##### Architectural Works (Section 120)
Architectural designs are protected by copyright, but this exception makes clear that, once a building is constructed at a place visible to the public, anyone may make and use a picture of that building without infringing the copyright in the architectural design. We might infringe copyright when we reproduce blueprints or duplicate the Trump Tower, but we are not infringing when we snap a photograph and use it in a book or even on postcards.

##### Special Formats for Persons Who Are Blind or Have Other Disabilities (Section 121)
This exception permits certain organizations to make specific types of formats of published, non-dramatic literary works in order that they may be useful to persons who are blind or have other disabilities. For example, some educational institutions and libraries may be able to make large-print or Braille versions of some works in the collection.

[Learn more here](http://guides.library.sc.edu/copyright/exceptions)"
What is licensing and how does it apply to using content?,"## Licensing
In some circumstances, a may be covered by a license that would allow you to use it in certain ways.

## Creative Commons
[Creative Commons](http://creativecommons.org/) is a nonprofit organization that enables the sharing and use of creativity and knowledge through free legal tools. Content licensed under certain Creative Commons licenses can be used freely for classroom teaching at the University of South Carolina.
- [Creative Commons Search](https://search.creativecommons.org/)

[Learn more here](http://guides.library.sc.edu/copyright/licensing)"
What are library databases and how can I use them?,"## Library Databases
The University of South Carolina subscribes to hundreds of databases on many subjects for you to use for research and teaching. You are welcome to provide links to these resources, although in many cases, downloading and reposting is prohibited.
Copyright law and the University contractual license agreements govern the access, use, and reproduction of most of the University Libraries' electronic databases. Users of library-licensed resources must comply with the terms of these agreements by a) limiting their uses to non-commercial, educational, or personal research purposes; and b) not facilitating unauthorized access by others outside of the University community.

[Learn more here](http://guides.library.sc.edu/copyright/licensing)"
What are acceptable uses of library-licensed resources?,"- Print, download, or quote limited amounts of information (with proper attribution)
- Email an article to another current University faculty, student, or staff member (unless this practice is specifically forbidden by the license)
- Create a link to an article on a publisher's website.

[Learn more here](http://guides.library.sc.edu/copyright/licensing)"
What are unacceptable uses of library-licensed resources?,"- Engage in systematic downloading of licensed content (e.g. download all the articles from an online journal issue or all the chapters from an e-book)
- Email an article to a person who is not a current University faculty, student, or staff (unless this practice is specifically allowed by the license)
- Post a copy of an article to a University server (e.g. Blackboard, departmental web site).

[Learn more here](http://guides.library.sc.edu/copyright/licensing)"
What is Fair Use?,"## Fair Use Basics
One of the limitations on copyright is the Fair Use doctrine, which can be found in [section 107 of the copyright law](https://www.law.cornell.edu/uscode/text/17/107). This broad and flexible doctrine provides instances for when using copyrighted material may be deemed fair. Each of the four factors must be weighed in determining if fair use applies:
- The purpose and character of the use, including whether such use is of commercial nature or is for nonprofit educational purposes
- The nature of the copyrighted work
- The amount and substantiality of the portion used in relation to the copyrighted work as a whole
- The effect of the use upon the potential market for, or value of, the copyrighted work.
Another important consideration is if your use may be transformative. In other words, is your use of the work substantially different from the original intention of the work?
[Learn more here](http://guides.library.sc.edu/copyright/fairuse)"
Are there resources to help me determine Fair Use?,"## Fair Use Checklist Examples
There are many Fair Use checklists developed that have been developed by U.S. universities. These may be useful in helping you determine whether your intended use of a work is fair.
- [Cornell University Fair Use Checklist](https://guides.library.cornell.edu/ld.php?content_id=63936868)
- [Columbia University Fair Use Checklist](http://copyright.columbia.edu/copyright/fair-use/fair-use-checklist/)
- [Fair Use Evaluator Tool](http://librarycopyright.net/resources/fairuse/index.php)
[Learn more here](http://guides.library.sc.edu/copyright/fairuse)"
How does Fair Use apply to students?,"## Fair Use for Students
- [Fair Use in a Day in the Life of a College Student](https://guides.library.sc.edu/ld.php?content_id=19742476)
[Learn more here](http://guides.library.sc.edu/copyright/fairuse)"
When do I not need permission to use copyrighted material?,"## You May Not Need Permission If....
- your use is within[fair use](http://guides.library.sc.edu/aecontent.php?pid=441641&sid=3630697)or another copyright exception;

- the work is[not protected](http://guides.library.sc.edu/aecontent.php?pid=441641&sid=3629780)by copyright at all; or

- your use is within the terms of a license agreement, including a[Creative Commons](http://creativecommons.org/)license from the author; or

- the library has already[purchased a license](http://guides.library.sc.edu/aecontent.php?pid=441641&sid=3630699)so you can link to the information.

[Learn more here](http://guides.library.sc.edu/copyright/permission)"
How do I seek permission to use copyrighted material?,"## Seeking Permission
If none of the circumstances above apply, you may still be able to use the work if you seek permission.
Seeking copyright permission can be difficult but necessary work. If you're interested in seeking permission, these are the steps you'll need to take:
- Identify the copyright owner

- Contact the copyright owner

- Secure permission

- Keep records.

[Learn more here](http://guides.library.sc.edu/copyright/permission)"
Can the library help me with copyright permissions for teaching materials?,"## USC Electronic Reserves
The University Libraries will seek and will sometimes pay reasonable permissions fees for items used for teaching in Blackboard. If you would like our help, please email your syllabus or reading list with citations to [Mark Volmer](mailto:volmerm@mailbox.sc.edu). Visit [Electronic Reserves at USC](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/faculty_services/course_materials/index.php) for more information.

[Learn more here](http://guides.library.sc.edu/copyright/permission)"
What are the benefits of archiving my research?,"## Overview
Archiving your research can make your work freely accessible, stops your research from being taken down, and gets you a wider audience to increase your research impact. But, it can be a bit tricky to know your rights and choose the right version of your work to share.
[Learn more here](https://guides.library.sc.edu/openaccessresources/version)"
What are the different versions of my article?,"## Pre-print
 Author's manuscript, original manuscript, first draft. [Example](https://zenodo.org/record/1197399#.WqlSPpPwbOR)
 Draft of the manuscript before formal peer-review, or the first version sent to the journal for consideration.
 An essay with no journal branding. It is commonly a .DOCX or other text format.
## Post-print
AAM, accepted manuscript author accepted manuscript, accepted author manuscript. [Example](https://zenodo.org/record/1197396#.WqlQ15PwbOR)
 Final version of the manuscript after formal peer-review but before being type-set by the publisher. It contains all revisions made during the peer-review process.
An essay with no journal branding, usually double-spaced, might have corrections on the sides. It is commonly a .DOCX or other text format.
## Publisher's PDF
Published version, version of record. [Example](https://link.springer.com/content/pdf/10.1007%2Fs10531-017-1472-z.pdf)
 Version of the manuscript published in a journal with the journal's type-set and branding.
Has the journal branding and logo. It is commonly a PDF downloaded from the journal's website.
[Learn more here](https://guides.library.sc.edu/openaccessresources/version)"
How do I find my article versions?,"- Search your email, computer hard drive and cloud storage
- Contact your co-authors
- Log into the journal's submission page and retrieve a copy of the submitted version
- Contact the journal by email and ask for a copy of  the submitted version of your article
- Log into the journal's submission page and retrieve a copy of the accepted version or AAM
- Contact the journal by email and ask for a copy of the accepted version of your article
- Log into the journal's submission page and retrieve a copy of the published version of your article
[Learn more here](https://guides.library.sc.edu/openaccessresources/version)"
Can I share my article versions online?,"Yes, if you've published in a [RoMEO green or yellow journal.](http://www.sherpa.ac.uk/romeoinfo.html) You can usually find your journal's RoMEO color at [http://www.sherpa.ac.uk/romeo/search.php](http://www.sherpa.ac.uk/romeo/search.php).
Yes, if you've published in a [RoMEO blue or yellow journal](http://www.sherpa.ac.uk/romeoinfo.html). Blue and Yellow journals allow the author to deposit the accepted  manuscript (post-print) in a repository.
Subscription journals typically don't allow authors to legally share the published version of their article online unless it was published open access, but there are exceptions. You can usually find information on your journal's self-archiving policy at [http://www.sherpa.ac.uk/romeo/search.php](http://www.sherpa.ac.uk/romeo/search.php).
[Learn more here](https://guides.library.sc.edu/openaccessresources/version)"
What is OSF and how can I use it?,"[](https://osf.io/institutions/sc/) is an online research collaboration tool and data repository. OSF allows researchers to collaborate, document, archive, share, and register research projects, materials, and data.

To learn more about this resource, visit the [](http://guides.library.sc.edu/osf).
[Learn more here](http://guides.library.sc.edu/c.php?g=592274&p=4095611)"
Are there any long-term archiving options for research data at the University of South Carolina?,"The University of South Carolina does not currently have a system-wide, long-term archiving option for research data. However, many external disciplinary and general data repositories exist.
[Learn more here](http://guides.library.sc.edu/c.php?g=592274&p=4095611)"
What are some external data repositories I can use?,"- [ICPSR](http://www.icpsr.umich.edu/icpsrweb/)
- [Open ICPSR](https://www.openicpsr.org/openicpsr/)
- [Re3Data](http://www.re3data.org/)
- [NIH-Data Sharing Repositories](https://www.nlm.nih.gov/NIHbmic/domain_specific_repositories.html)
[here](https://nnlm.gov/data/repositories).
- [Dataverse](http://dataverse.org/)
- [Dryad](https://datadryad.org/stash)
- [Figshare](https://figshare.com/)
- [Zenodo](https://zenodo.org/)
[Learn more here](http://guides.library.sc.edu/c.php?g=592274&p=4095611)"
How do I cite a dataset?,"If you are using another researcher's dataset, it's important to cite it to give that producer credit. Citing data also simplifies access to data for re-use.

Data Creator
Title of Dataset
Year of Publication
Publisher (usually the data repository where the dataset is housed)
Edition or Version
Access Information (URL or other persistent identifier)
A recommended format is:
Creator (PublicationYear). Title. Publisher. Identifier
or, if version and type of resource are available:
Creator (PublicationYear). Title. Version. Publisher. ResourceType. Identifier
- [DOI Citation Formatter](http://citation.crosscite.org/)
- [Data Citation Index](https://login.pallas2.tcl.sc.edu/login?url=https://www.webofscience.com/wos/drci/basic-search)
[Learn more here](http://guides.library.sc.edu/c.php?g=592274&p=4095611)"
What are the policies for text analysis of licensed content?,"## Licensed Content for Text Analysis
Policies and terms of use for text and data mining of licensed products are subject to change and may be adjusted without notice. Many requests can be mediated through the Libraries, but you may need to negotiate directly with the vendor and pay associated costs. The Libraries does not pay content mining fees for researchers.
[Learn more here](https://guides.library.sc.edu/text-analysis/content)"
What vendors allow text and data mining of their licensed content?,"The following list is representative of vendor policies but is not exhaustive. Please [contact the Libraries ](mailto:digres@mailbox.sc.edu?subject=Vendor%20Content%20Mining%20Request)for help getting started with these or other databases
- [AM (Adam Matthew)](https://www.amdigital.co.uk/support/digital-humanities)AM allows text and data mining of non-video licensed content subject to written consent from AM for the purposes of research, education, teaching or other non-commercial use. Request access from[AM's website](https://www.amdigital.co.uk/contact/text-and-data-mining).
- [Cambridge University Press](https://www.cambridge.org/digital-products)[Contact the Libraries](mailto:digres@mailbox.sc.edu)to initiate the process.
- [Constellate](https://constellate.org/)
- [Elsevier](https://www.elsevier.com/open-science/research-data/text-and-data-mining)Limited text and data mining may be available for open access content. Contact the Elsevier[Permission Helpdesk](https://service.elsevier.com/app/contact/supporthub/permissions-helpdesk)for other requests.
- [HathiTrust](https://analytics.hathitrust.org/)
- [IEEE](https://www.ieee.org/)Costs negotiated per request.[Contact the Libraries](mailto:digres@mailbox.sc.edu)to initiate process.
- [Newsbank](https://www.newsbank.com/)Restrictions are in place and costs are negotiated for each request.[Contact the Libraries](mailto:digres@mailbox.sc.edu)to initiate the process.
- [Nexis Data](https://www.lexisnexis.com/en-us/products/data-as-a-service/optimal-data-integrations.page)The LexisNexis Web Services API is available to researchers for text and data mining at a cost.[Contact the Libraries](mailto:digres@mailbox.sc.edu)to initiate the process.
- [Oxford University Press](https://academic.oup.com/pages/legal-and-policy/text-and-data-mining)Text and data mining is limited.[Contact the Libraries](mailto:digres@mailbox.sc.edu)to initiate the process.
- [Sage Journals](https://journals.sagepub.com/page/policies/text-and-data-mining)Downloading articles for text and data mining is permitted if policies are followed. Review relevant policies, terms, and conditions from[Sage's website](https://journals.sagepub.com/page/policies/text-and-data-mining).
- [Springer Nature](https://www.springernature.com/gp/researchers/text-and-data-mining)USC researchers may engage in noncommercial text and data mining for research purposes, subject to Springer's policies. An[API key](https://dev.springernature.com/)can be requested.
- [Taylor and Francis](https://taylorandfrancis.com/our-policies/textanddatamining/)Text and data mining is permitted for USC researchers for non-commercial purposes within the terms and conditions set by Taylor and Francis. Contact[Taylor and Francis](mailto:support@tandfonline.com)for access and support.
[Learn more here](https://guides.library.sc.edu/text-analysis/content)"
What are the evaluation methods for digital scholarship?,"## Evaluation Methods
Peer evaluation is an important part of scholarly publication. But how should nontraditional scholarly output be evaluated? In this section, we'll provide brief suggestions for evaluating digital scholarship and a curated list of peer-reviewed journals that review and publish on digital scholarship or digital humanities projects.
- Scholarship: Is the project intellectually rigorous? Is the methodology sound? Are arguments properly developed?

- Technology: Is the technical design sound? Does it make use of appropriate digital tools, or create robust technologies for use in the field? Is the site interoperable? Does it use appropriate web standards?

- Audience: Does the project effectively engage academic and public audiences?

- Editorial quality: Are appropriate editorial standards, such as TEI, used? Is the site clear and free from grammatical or spelling issues? Is the site accessible? Is a metadata schema used consistently?

- Sustainability: Does the project address digital preservation?
Vol. 1, No. 4 of the Journal of Digital Humanities presents a number of comprehensive approaches for evaluating digital scholarship. This issue should be consulted to gain a better understanding of the complexities and considerations of evaluating digital scholarship.
- [Closing the Evaluation Gap](http://journalofdigitalhumanities.org/1-4/how-to-evaluate-digital-scholarship-by-todd-presner/)

[Learn more here](https://guides.library.sc.edu/digitalscholarship/evaluate)"
What peer-reviewed journals are available for digital scholarship?,"## Peer Reviewed Journals
Find a journal to evaluate or publish on digital scholarship.
- [dh+lib](https://dhandlib.org/)
- [Digital Humanities Now](https://digitalhumanitiesnow.org/)
- [Digital Humanities Quarterly](http://digitalhumanities.org:8081/dhq/)
- [Digital Medievalist](https://journal.digitalmedievalist.org/)
- [Digital Scholarship in the Humanities](https://academic.oup.com/dsh)
- [Digital Studies / Le Champ Numérique](https://www.digitalstudies.org/)
- [Journal of Cultural Analytics](https://culturalanalytics.org/)
- [Journal of Data Mining & Digital Humanities](https://jdmdh.episciences.org/)
- [Journal of Interactive Technology and Pedagogy](https://jitp.commons.gc.cuny.edu/)
- [Reviews in Digital Humanities](https://reviewsindh.pubpub.org/)
- [Startwords](https://startwords.cdh.princeton.edu/)

[Learn more here](https://guides.library.sc.edu/digitalscholarship/evaluate)"
What resources can help me understand copyright for course materials?,"## Thinking Through Copyright and Course Materials
This short video will provide you with an overview of the information necessary to help you make responsible copyright determinations for course materials.

## Additional Copyright Resources
Look at these resources for additional information on copyright:
- [17 U.S. Code Title 17 — Copyrights](https://www.law.cornell.edu/uscode/text/17)
- [TEACH Act Toolkit](https://lib.lsu.edu/services/copyright/teach/index)
- [Stanford's List of Charts and Tools](http://fairuse.stanford.edu/charts_tools/)
- [ARL's Fair Use For Academic and Research Libraries Document](http://www.arl.org/storage/documents/publications/code-of-best-practices-fair-use.pdf)

[Learn more here](https://guides.library.sc.edu/copyright/moreresources)"
How can I get help with course materials?,"## Course Materials Support
Send us your syllabus to request links in Blackboard for articles, streaming videos, book chapters, ebooks and Open Educational Resources. We can even consider purchasing new items to support your teaching.
Use the [Course Materials Request form](https://sc.libwizard.com/f/eReserve) for help with articles, books and films in both online and physical formats."
How do I add course readings to Blackboard?,"
### Online Materials in Blackboard
Add scans or links to course readings in Blackboard. University Libraries will help address any copyright issues. Requests made at least 3 weeks before classes begin receive priority."
What print materials are available for my course?,"
### Print Materials
#### Textbooks
The library has a large collection of print textbooks, especially for courses with over 100 students. To see if the library has the textbook for your course, search by book title or course number in [Find It @ USC Libraries](https://pascal-usc.primo.exlibrisgroup.com/discovery/search?vid=01PASCAL_USCCOL:USC) under Course Reserves.
#### Other Materials
Ask to put items on reserve at Circulation for the full semester.
- Print or ebooks in the library collection
- Personal copies from the instructor
- Request new purchases for the collection (ebook is default)"
How do I contact the course materials support team?,"
# Contact Us
Contact us with questions or to submit requests.
: 803-777-3145
: [ereserve@mailbox.sc.edu](mailto:ereserve@mailbox.sc.edu)"
What are Open Educational Resources?,"
# Open Educational Resources
Discover freely accessible and customizable course materials to reduce textbook costs for your students. Explore our [OER guide](http://guides.library.sc.edu/OER)."
Where can I find more information about music materials?,"
# Related Information
For streaming audio reserves and other music materials contact the [Music Library](/about/offices_and_divisions/university_libraries/browse/music_library/index.php).
[Learn more here](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/faculty_services/course_materials/index.php)"
How can I find openly available research works?,"## Finding Openly Available Works
Even if you don't have institutional access to certain research, you may be able to access an openly available version of the work. Here, we share tools to help you locate open access copies. You can use the search bar below provided by the [Open Access Button](https://openaccessbutton.org/) to search by URL, DOI, title, or citation. Sometimes, a quick title search in [Google](https://www.google.com/) or [Google Scholar](https://scholar.google.com/) will direct you to OA research. There are also plug ins and repositories you can use to find freely available works.

## Browser Plug-Ins
The [Open Access Button](https://openaccessbutton.org/) searches thousands of sources in one click to locate openly available research. You can download a browser extension through [Chrome](https://chrome.google.com/webstore/detail/open-access-button/gknkbkaapnhpmkcgkmdekdffgcddoiel?utm_source=inline-install-disabled) or [Firefox](https://addons.mozilla.org/en-US/firefox/addon/openaccessbutton/) to locate research and, if unavailable, contact the author with one simple click for a copy of the work.
[Unpaywall ](https://unpaywall.org/)harvests open access content and makes it discoverable through a browser extension in [Chrome](https://chrome.google.com/webstore/detail/unpaywall/iplffkdpngmdjhlpjmppncnlhomiipha) or [Mozilla](https://addons.mozilla.org/en-US/firefox/addon/unpaywall/). When the plug-in encounters a DOI, it'll automatically direct you to an OA version of the work if available.

## Open Access Repositories
There are many repositories that archive and make works openly available. As mentioned previously, articles in these repositories will often show up in a simple [Google](https://www.google.com/) or [Google Scholar ](https://scholar.google.com/)search. Explore open access repositories from:
- [arXiv](https://arxiv.org/)
- [bioRxiv](https://www.biorxiv.org/)
- [Humanities Commons](https://hcommons.org/)
- [PeerJ Preprints](https://peerj.com/)
- [PubMed Central](https://www.ncbi.nlm.nih.gov/pmc/)
- [SSRN](https://www.ssrn.com/)

[Learn more here](https://guides.library.sc.edu/openaccessresources/tools)"
Why is a consistent file naming strategy important?,"Developing and following a consistent file naming strategy can make data easier to find, particularly when large numbers of files exist. Although it's common to think that file names will be remembered in the future, unorganized files and folders can lead to frustration down the road.

Good file naming allows you to identify the contents of the file from the name. It may be useful to consider including some or all of the following information, as long as it is done consistently.
- File creator's name/initials
- Date of creation
- Version number
- Project or experiment name or acronym
- Location/spatial coordinates
- Type of data
- Conditions
- File version number
- Keep file names as short as possible while including necessary information.
- Do not use special characters such as #, <, >, $, +, %, *, etc. Different operating systems may interpret these as instructions to perform special tasks.
- Use hyphens (-) instead of underscores (_), full stops (.), or spaces in file names.
- If you add dates, make sure you use consistent formatting.
- While underscores are invisible when links are underlined, hyphens can still be seen.
- For files that might be searched online, some search engines don't recognize underscores and others may downgrade page rankings if underscores are used.

[Learn more here](https://guides.library.sc.edu/c.php?g=592274&p=4573562)"
What file formats should I use to ensure long-term accessibility?,"As anyone with data saved on a floppy disk probably realizes, technology changes constantly and, if not planned for, hardware and software obsolescence can render data inaccessible and unreadable. To ensure long-term accessibility of research data, researchers should consider using file formats that share these characteristics:
- Non-proprietary
- Open, documented standard
- Common usage by research community
- Standard representation ([ASCII](http://www.asciitable.com/),[Unicode](http://unicode.org/))
- Unencrypted
- Uncompressed

Data saved in proprietary formats are vulnerable to obsolescence. Here are examples of open file formats you can use to increase the likelihood that research data will be accessible in the future. A number of applications have been developed to open these types of files:
- instead of a Microsoft Word extension (.doc, .docx)
- instead of a Microsoft Excel extension (.xls, .xlsx)
- TIFF or[JPEG2000](https://jpeg.org/jpeg2000/)instead of .gif or .jpg

[Learn more here](https://guides.library.sc.edu/c.php?g=592274&p=4573562)"
What is Open Science Framework?,"[](https://osf.io/institutions/sc/) is an online research collaboration tool and data repository. Created by the [Center for Open Science](https://cos.io/), OSF allows researchers to collaborate, document, archive, share, and register research projects, materials, and data.

Open Science Framework is not just for science! Researchers in any discipline can use this tool. Keep in mind that OSF is for sensitive data."
How do I get started with Open Science Framework?,"- [Create an Account](https://osf.io/register/)

- [USC OSF Dashboard](https://osf.io/institutions/sc)"
What kind of data should not be stored on Open Science Framework?,"## Not for PII, PHI
Open Science Framework is not HIPAA-compliant. It is not a place to store data sets containing personally identifiable information.

[Learn more here](http://guides.library.sc.edu/osf)"
What learning sessions are offered by USC Libraries?,"## Learning Sessions offered by USC Libraries
Each semester, the Libraries offers online, live learning sessions or workshops for different topics.  Please visit the link below for the latest offerings in text analysis.
- [Text Analysis workshops](https://libcal.library.sc.edu/calendar/workshops?cid=16861&t=g&d=0000-00-00&cal=16861&ct=68189&inc=0)

[Learn more here](https://guides.library.sc.edu/c.php?g=1341033&p=9886483)"
What events are offered by Constellate?,"## Constellate Events
JSTOR's [Constellate ](https://constellate.org/events)offers events through out the year,  Some upcoming events include:
- Wat Can you Do with Word Counts (Sept. 13)
- Introduction to Language Models (Sept. 20th)
- Python Basics (Oct. 16-20)
- Python Intensive (Oct. 23-27)
USC Columbia faculty and students may register for these on their site at [https://constellate.org/events](https://constellate.org/events) .

[Learn more here](https://guides.library.sc.edu/c.php?g=1341033&p=9886483)"
What tutorials are available for text analysis?,"## Tutorials
- [Blei, David (2012) Modeling Science: Dynamic Topic Models of Scholarly Research. GoogleTalks Archive YouTube Video](https://www.youtube.com/watch?v=7BMsuyBPx90)
- [Hermenuti.ca](http://hermeneuti.ca/)
- [Mimno, David. (2012) Topic Modeling MITH Workshop on Topic Modeling Vimeo Video](https://vimeo.com/53080123)
- [Programming Historian Tutorials](https://programminghistorian.org/en/lessons/)
- [PythonHumanities](https://pythonhumanities.com/)
- [Python Video Tutorials by William Mattingly](https://www.youtube.com/@python-programming)
- [Sage Text Mining Tutorials for Social Scientists](https://us.sagepub.com/en-us/nam/text-mining-for-social-scientists-ignatow)
- [The TDM Today Show! Episode 01](https://archive.org/details/tdm.today.ep.01)

[Learn more here](https://guides.library.sc.edu/c.php?g=1341033&p=9886483)"
What instructions and articles are available for text analysis?,"## Instructions and Articles
- [Brett, Megan.(Winter 2012) Topic Modeling, A Basic Introduction. Journal of Digital Humanities. Vol 2, No.1](http://journalofdigitalhumanities.org/2-1/topic-modeling-a-basic-introduction-by-megan-r-brett/)
- [Gavin, Michael. (2023) Literary Mathematics](https://literarymathematics.org/)
- [Posner, Miriam, (2012) Very basic strategies for interpreting results from the Topic Modeling Tool, Miriam Posner's Blog](https://miriamposner.com/blog/very-basic-strategies-for-interpreting-results-from-the-topic-modeling-tool/)
- [Underwood, Ted. (August 2015) Distant Reading with HathiTrust, The Stone and the Shell Blog.](https://tedunderwood.com/2015/08/07/a-dataset-for-distant-reading-literature-in-english-1700-1922/)

[Learn more here](https://guides.library.sc.edu/c.php?g=1341033&p=9886483)"
